# Skate 3 audio corpus: the functions that actually executed.
#
# Measured 2026-09-11. This file exists because the first Phase 0a measurement was
# lost: every trace artifact lands in probe/trace/out/, and .gitignore's 'out/' rule
# exists for retail-derived game data, not for measurements. A session's executed set
# cannot be regenerated without the game, a boot and the same pad timeline, so it is
# tracked here instead. The 1,693-function corpus is NOT tracked, deliberately: it is
# derivable from probe/trace/corpus.py, which is.
#
# trace header : skate3 guest trace: mode=first reason=controller recorded=16640 written=16640 capacity=262144
# label        : p11_trace
# arm / mode   : TRACE_ARM=boot, TRACE_MODE=first (one entry per function)
# dump         : skate3_trace_dump_delay_ms=120000, i.e. 120 s after gameplay
# pad macro    : a:700,a:700,a:700,a:700,x:900,a:700,a:700,back:1200
# binary       : skate3recomp-dev/out/build/linux-release-jammy/skate3
# audio hooks  : neither skate3_audio_shadow nor skate3_audio_native set, so all six
#                hooks fell through to __imp__ and this is original guest behaviour
#
# corpus executed : 758 of 1693 (44.8%)
# vector executed : 30 of 49
# audio thread    : 216 (200 scalar)
#
# NOT a maximum. The documented union of three earlier sessions is 789; this single
# session has no map switch, whose streaming paths account for the difference. It is
# also an upper bound on audio work in the other direction: the corpus is call-graph
# bounded from audio seeds and so contains main- and render-thread code.
#
# Re-intersect without the game:
#   python3 probe/trace/analyze_trace.py probe/trace/out/corpus.json <trace>
#
# address	vec	thread of first call
82B2F038	0	RwAudioCore Dac/1199309
82B2F150	0	RwAudioCore Dac/1199309
82B2F2C8	0	RwAudioCore Dac/1199309
82B2F590	0	RwAudioCore Dac/1199309
82B2F798	0	RwAudioCore Dac/1199309
82B2F8C0	0	RwAudioCore Dac/1199309
82B2FE00	0	RwAudioCore Dac/1199309
82B2FEA8	0	RwAudioCore Dac/1199309
82B2FF88	0	load_thread (F8/1199277
82B301C0	0	XThread26FFE6C0/1199310
82B301C8	0	XThread26FFE6C0/1199310
82B305C0	0	RwAudioCore Dac/1199309
82B30790	0	load_thread (F8/1199277
82B30798	0	load_thread (F8/1199277
82B30C50	0	RwAudioCore Dac/1199309
82B312D8	0	load_thread (F8/1199277
82B312E0	0	load_thread (F8/1199277
82B31368	0	RwAudioCore Dac/1199309
82B31370	0	load_thread (F8/1199277
82B31480	0	RwAudioCore Dac/1199309
82B31680	0	RwAudioCore Dac/1199309
82B31838	0	RwAudioCore Dac/1199309
82B31D88	0	Main XThread (F/1199275
82B31D90	0	RwAudioCore Dac/1199309
82B31E30	0	rwfilesys (F800/1199280
82B31EE0	0	RwAudioCore Dac/1199309
82B32328	0	RwAudioCore Dac/1199309
82B32408	0	load_thread (F8/1199277
82B32480	0	RwAudioCore Dac/1199309
82B32550	0	RwAudioCore Dac/1199309
82B325A8	0	load_thread (F8/1199277
82B32870	0	RwAudioCore Dac/1199309
82B328E8	0	render_thread (/1199299
82B32DC8	0	RwAudioCore Dac/1199309
82B33210	0	RwAudioCore Dac/1199309
82B332D0	0	RwAudioCore Dac/1199309
82B33418	0	RwAudioCore Dac/1199309
82B335A8	0	RwAudioCore Dac/1199309
82B33780	0	RwAudioCore Dac/1199309
82B33870	0	RwAudioCore Dac/1199309
82B33970	0	RwAudioCore Dac/1199309
82B33C08	0	RwAudioCore Dac/1199309
82B33D40	0	RwAudioCore Dac/1199309
82B33F98	0	RwAudioCore Dac/1199309
82B34268	0	RwAudioCore Dac/1199309
82B34278	0	RwAudioCore Dac/1199309
82B349A8	0	RwAudioCore Dac/1199309
82B34A48	0	load_thread (F8/1199277
82B34B10	0	RwAudioCore Dac/1199309
82B34B50	0	RwAudioCore Dac/1199309
82B34BD0	0	RwAudioCore Dac/1199309
82B34C90	0	load_thread (F8/1199277
82B34D60	0	RwAudioCore Dac/1199309
82B34E08	0	RwAudioCore Dac/1199309
82B36D88	0	load_thread (F8/1199277
82B36E68	0	load_thread (F8/1199277
